timestamp,quality_setting,expected_bitrate,protocol,length,src_port,dst_port,tcp_flags,seq_num,ack_num,src_ip,dst_ip,ttl,is_spotify_tls,tls_record_length,iat,second,throughput_kbps
1763226684.3185997,Baja,24,TLS,1514,443,36314,0x0010,345211,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.001058340072631836,1763226684,1730.344
1763226684.3203123,Baja,24,TLS,1514,443,36314,0x0010,361271,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0017125606536865234,1763226684,1730.344
1763226684.32124,Baja,24,TLS,1514,443,36314,0x0010,377195,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0009276866912841797,1763226684,1730.344
1763226684.3229623,Baja,24,TLS,1514,443,36314,0x0010,394850,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0017223358154296875,1763226684,1730.344
1763226684.3257458,Baja,24,TLS,1514,443,36314,0x0010,407990,2531,199.232.34.248,192.168.174.137,128,True,14538.0,0.002783536911010742,1763226684,1730.344
1763226684.3275452,Baja,24,TLS,1514,443,36314,0x0010,425510,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0017993450164794922,1763226684,1730.344
1763226684.3295748,Baja,24,TLS,1378,443,36314,0x0018,441570,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0020296573638916016,1763226684,1730.344
1763226684.3307984,Baja,24,TLS,1514,443,36314,0x0010,457629,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0012235641479492188,1763226684,1730.344
1763226684.3329484,Baja,24,TLS,1514,443,36314,0x0010,473689,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0021500587463378906,1763226684,1730.344
1763226684.3342977,Baja,24,TLS,1514,443,36314,0x0010,491209,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0013492107391357422,1763226684,1730.344
1763226684.3395405,Baja,24,TLS,1514,443,36314,0x0010,507269,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.005242824554443359,1763226684,1730.344
1763226684.3401814,Baja,24,TLS,1514,443,36314,0x0010,523328,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.000640869140625,1763226684,1730.344
1763226684.3409853,Baja,24,TLS,1514,443,36314,0x0010,539388,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0008039474487304688,1763226684,1730.344
1763226684.3422153,Baja,24,TLS,1514,443,36314,0x0010,556908,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.001230001449584961,1763226684,1730.344
1763226684.3428776,Baja,24,TLS,1514,443,36314,0x0010,572968,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0006623268127441406,1763226684,1730.344
1763226684.3445852,Baja,24,TLS,1514,443,36314,0x0010,589079,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0017075538635253906,1763226684,1730.344
1763226684.3462048,Baja,24,TLS,1514,443,36314,0x0010,605087,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.001619577407836914,1763226684,1730.344
1763226684.3492262,Baja,24,TLS,1514,443,36314,0x0010,622607,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0030214786529541016,1763226684,1730.344
1763226684.349774,Baja,24,TLS,1514,443,36314,0x0018,638667,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0005476474761962891,1763226684,1730.344
